headline,description,date
Aérien : Folle descente,La Bourse anticipe un horizon très bouché pour le secteur aérien.,Publié le 6 mars à 18h22
,Le 6 mars est encore un vendredi noir pour la Bourse de Paris. Jusqu'où l'indice de nos 40 plus grandes valeurs peut-il descendre ? Le verdict de l'analyse technique.,"Sélection abonnés,Publié le 6 mars à 17h45,Mis à jour le 6 mars à 19h04"
Bourses : les trois chiffres d'une journée sous tension,"Les marchés ont connu cette semaine une intense volatilité, les places financières clôturant alternativement en hausse et en baisse. Ce vendredi, la tendance est très fortement à la baisse et plusieurs indicateurs atteignent des planchers records.","En chiffres,Publié le 6 mars à 13h27,Mis à jour le 6 mars à 15h23"
EssilorLuxottica a tenu son cap dans la tempête,"Le nouveau géant mondial de l'optique a vu son chiffre d'affaires progresser de 4,4 % en 2019, au terme d'une année marquée notamment par une violente crise de gouvernance et l'entrée d'un fonds activiste. Le titre perd 2 % en Bourse.","Publié le 6 mars à 10h54,Mis à jour le 8 mars à 20h54"
Coronavirus : vent de panique sur les marchés mondiaux,"Wall Street affiche de fortes baisses. Le CAC 40 a pour sa part clôturé la semaine sur un nouveau plongeon de plus de 4 %. De son côté, le VIX, l'indice de la peur, flambe et dépasse les 50 points. Les marchés répercutent également l'absence d'accord entre l'OPEP et la Russie. Le pétrole dévisse.","Publié le 6 mars à 9h58,Mis à jour le 9 mars à 16h10"
"Dawn Hudson, au générique des Oscars","Juste avant la journée des femmes, l'actrice, devenue PDG de l'Academy of Motion Picture Arts and Sciences, qui décerne la prestigieuse statuette, était à Paris pour décerner une bourse à la réalisatrice de « Papicha ». Rencontre.","Portrait,Publié le 6 mars à 9h15"
Coronavirus : les Bourses asiatiques souffrent,"Alors que l'épidémie de Covid-19 continue de se propager, les craintes pesant sur l'économie mondiale affectent une nouvelle fois les marchés asiatiques ce vendredi. A Tokyo, le Nikkei a clôturé sur une chute de près de 3 %, dans la foulée d'une séance agitée à Wall Street.","Publié le 6 mars à 8h31,Mis à jour le 6 mars à 9h37"
Coronavirus : 190 nouveaux cas en France en 24 heures,"Le bilan monte à 9 décès en France, et 613 cas positifs depuis fin janvier. L'épidémie de Covid-19 a notamment fait son entrée à l'Assemblée nationale. Dans le monde, la barre des 100.000 personnes contaminées est franchie, ainsi que celle des 3.400 morts. La situation met sous tension les places financières mondiales.","Publié le 6 mars à 7h25,Mis à jour le 6 mars à 21h59"
Immobilier : 3 idées pour faire une bonne affaire,"En immobilier comme en Bourse, l'investisseur hésite à entrer sur le marché lorsque les cours sont déjà élevés. Il existe pourtant des opportunités pour les plus audacieux.","Publié le 6 mars à 7h09,Mis à jour le 6 mars à 9h21"
"L'activiste Christopher Hohn, patron de TCI, au chevet de la planète","Le chevalier blanc des actionnaires minoritaires se transforme en chevalier vert de la finance. En partant en croisade contre le charbon, il continue à s'attaquer aux entreprises qui ne s'engagent pas suffisamment pour lutter contre le réchauffement climatique.",Publié le 6 mars à 6h10
Banque/Bourse : Dividendes sans parapluie,Le coût du risque des banques européennes refait parler de lui.,"Publié le 5 mars à 18h50,Mis à jour le 5 mars à 18h51"
Les pistes pour combattre le déclin des introductions en Bourse en Europe,Un groupe de travail a proposé à la Commission européenne de mettre en place des règles proportionnelles à la taille des entreprises pour relancer les introductions en Bourse. Il recommande aussi de baisser les coûts liés à la première cotation.,"Publié le 5 mars à 17h18,Mis à jour le 5 mars à 17h47"
Coronavirus : les Bourses mondiales chutent de nouveau ,"Les craintes liées aux conséquences de l'épidémie de Covid-19 ne s'apaisent pas et les marchés restent fébriles. Après son fort rebond de la veille, la Bourse de New York était à nouveau nettement dans le rouge à ce jeudi : le Dow Jones perdait autour de 3,5 % après la clôture des bourses européennes.","Publié le 5 mars à 16h12,Mis à jour le 5 mars à 19h17"
,"Depuis janvier, seules 91 entreprises ont fait leurs premiers pas en Bourse, moitié moins que l'an dernier. La propagation du coronavirus vient amplifier la tendance : Warner Music et Cole Haan ont reporté, lundi, leur projet de cotation.","La sélection abonné,Sélection abonnés,Publié le 4 mars à 12h33,Mis à jour le 4 mars à 17h00"
"Coronavirus : après la Fed, les Bourses retrouvent finalement un peu d'air","Après un début de séance hésitant, le CAC 40 semble s'installer dans le vert, malgré la chute des marchés américains la veille. Mais la forte volatilité des marchés semblent indiquer que la décision surprise de la Fed d'abaisser ses taux n'a visiblement pas suffisamment rassuré les investisseurs.","Publié le 4 mars à 9h20,Mis à jour le 4 mars à 18h25"
"Egalité femmes-hommes : la France bonne élève de l'Europe, mais peut mieux faire","Selon l'organisation Equileap, la France est la meilleure élève de l'Europe en matière d'égalité professionnelle. « La mise en place de quotas de femmes dans les conseils d'administration a un impact positif significatif », souligne Diana van Maasdijk, directrice générale d'Equileap, qui pointe a contrario la persistance des inégalités salariales malgré l'index.","Publié le 4 mars à 8h00,Mis à jour le 4 mars à 8h05"
